rebalance_date,US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin
2005-07-29,0.45,0.15,0.1,0.05232602520203306,0.247673974797967,
2005-08-31,0.45,0.15,0.1,0.05232602520203306,0.247673974797967,
2005-09-30,0.4500000000000001,0.0,0.09999999999999984,0.25000000000000006,0.2,0.0
2005-10-31,0.4499999999999995,0.10000000000000098,0.0,0.24999999999999972,0.19999999999999976,0.0
2005-11-30,0.45,0.15,0.1,0.05232602520203306,0.247673974797967,
2005-12-30,0.45,0.15,0.1,0.05,0.25,
2006-01-31,0.45,0.15,0.1,0.05,0.25,
2006-02-28,0.45,0.15,0.1,0.05,0.25,
2006-03-31,0.45,0.15,0.1,0.05,0.25,
2006-04-28,0.45,0.15,0.1,0.05,0.25,
2006-05-31,0.45,0.15,0.1,0.05,0.25,
2006-06-30,0.45,0.15,0.1,0.05,0.25,
2006-07-31,0.45,0.15,0.1,0.05,0.25,
2006-08-31,0.45,0.15,0.1,0.05,0.25,
2006-09-29,0.45,0.15,0.1,0.05,0.25,
2006-10-31,0.45,0.15,0.1,0.05,0.25,
2006-11-30,0.45,0.15,0.1,0.05,0.25,
2006-12-29,0.45,0.15,0.1,0.19090846466838113,0.10909153533161896,
2007-01-31,0.45,0.15,0.1,0.19090846466838113,0.10909153533161896,
2007-02-28,0.45,0.15,0.1,0.19090846466838113,0.10909153533161896,
2007-03-30,0.45,0.15,0.1,0.19090846466838113,0.10909153533161896,
2007-04-30,0.45,0.15,0.1,0.19090846466838113,0.10909153533161896,
2007-05-31,0.45,0.15,0.1,0.19090846466838113,0.10909153533161896,
2007-06-29,0.45,0.15,0.1,0.19090846466838113,0.10909153533161896,
2007-07-31,0.45,0.15,0.1,0.19090846466838113,0.10909153533161896,
2007-08-31,0.45,0.15,0.1,0.19090846466838113,0.10909153533161896,
2007-09-28,0.45,0.15,0.1,0.19090846466838113,0.10909153533161896,
2007-10-31,0.45,0.15,0.1,0.19090846466838113,0.10909153533161896,
2007-11-30,0.44999999999999984,0.10000000000000019,0.0,0.25000000000000006,0.19999999999999996,0.0
2007-12-31,0.45,0.15,0.1,0.13491040583848218,0.16508959416151783,
2008-01-31,0.45,0.15,0.1,0.13491040583848218,0.16508959416151783,
2008-02-29,0.45,0.15,0.1,0.13491040583848218,0.16508959416151783,
2008-03-31,0.45,0.15,0.1,0.13491040583848218,0.16508959416151783,
2008-04-30,0.45,0.15,0.1,0.13491040583848218,0.16508959416151783,
2008-05-30,0.45,0.15,0.1,0.13491040583848218,0.16508959416151783,
2008-06-30,0.45,0.15,0.1,0.13491040583848218,0.16508959416151783,
2008-07-31,0.45,0.15,0.1,0.13491040583848218,0.16508959416151783,
2008-08-29,0.45,0.15,0.1,0.13491040583848218,0.16508959416151783,
2008-09-30,0.45,0.15,0.1,0.13491040583848218,0.16508959416151783,
2008-10-31,0.45,0.15,0.1,0.13491040583848218,0.16508959416151783,
2008-11-28,0.45,0.15,0.1,0.13491040583848218,0.16508959416151783,
2008-12-31,0.45,0.15,0.1,0.05,0.25,
2009-01-30,0.45,0.15,0.1,0.05,0.25,
2009-02-27,0.45,0.15,0.1,0.05,0.25,
2009-03-31,0.45,0.15,0.1,0.05,0.25,
2009-04-30,0.45,0.15,0.1,0.05,0.25,
2009-05-29,0.2963701509403556,0.35,0.25,0.043034906926543465,0.060594942133100856,0.0
2009-06-30,0.3120756116645614,0.35,0.25,0.043128770812116454,0.044795617523322194,0.0
2009-07-31,0.3007839015410285,0.3499999999999999,0.2198352821217606,0.047315605419014695,0.08206521091819621,0.0
2009-08-31,0.2859315787941261,0.35,0.23838030231937585,0.04287663295258902,0.08281148593390905,0.0
2009-09-30,0.2983131528432547,0.35000000000000003,0.17973551259254308,0.03963374905663048,0.13231758550757167,0.0
2009-10-30,0.28214634304250963,0.35,0.12788451874054763,0.044576751071499644,0.19539238714544313,0.0
2009-11-30,0.45,0.19877539047743292,0.0,0.0784118458997603,0.2728127636228069,0.0
2009-12-31,0.44743472666265693,0.16534296272146248,0.0,0.08722231061588064,0.3,0.0
2010-01-29,0.4499999999999999,0.23755143919611543,0.0,0.012448560803884666,0.29999999999999993,0.0
2010-02-26,0.45,0.21248056777885932,0.0,0.0375194322211407,0.3,0.0
2010-03-31,0.4499999999999999,0.13920555317965197,0.0,0.11079444682034803,0.29999999999999993,0.0
2010-04-30,0.45,0.09999999999999991,0.0,0.15000000000000022,0.3,0.0
2010-05-31,0.45,0.09999999999999992,0.0,0.15000000000000008,0.3,0.0
2010-06-30,0.45,0.15,0.1,0.05,0.25,
2010-07-30,0.4499999999999996,0.0,0.0,0.14999999999999994,0.30000000000000027,0.1000000000000001
2010-08-31,0.45,0.15,0.1,0.05,0.25,
2010-09-30,0.4136758297083228,0.13632417029167726,0.0,0.15000000000000005,0.29999999999999993,0.0
2010-10-29,0.4500000000000004,0.09327967745048961,0.0,0.1499999999999996,0.2999999999999998,0.0067203225495104804
2010-11-30,0.4499999999999998,0.0768327389460727,0.0,0.14999999999999997,0.3,0.02316726105392753
2010-12-31,0.4499999999999996,0.0787305156681729,0.0,0.15000000000000036,0.3,0.02126948433182709
2011-01-31,0.4499999999999999,0.06890099496948782,0.0,0.15,0.3,0.03109900503051231
2011-02-28,0.4262221945745756,0.09491761705062941,0.0,0.15000000000000005,0.3,0.028860188374794996
2011-03-31,0.4500000000000002,0.06610285030303498,0.0,0.15000000000000005,0.3000000000000001,0.03389714969696478
2011-04-29,0.44472298551904327,0.15,0.1,0.05000000000000008,0.25,0.005277014480956603
2011-05-31,0.4500000000000002,0.06276316854660301,0.0,0.1500000000000001,0.3000000000000001,0.03723683145339674
2011-06-30,0.45000000000000007,0.06425470117042,0.0,0.15,0.30000000000000004,0.035745298829579907
2011-07-29,0.4499999999999998,0.09999999999999996,0.0,0.24999999999999975,0.20000000000000034,0.0
2011-08-31,0.44472298551904327,0.15,0.1,0.05000000000000008,0.25,0.005277014480956603
2011-09-30,0.44472298551904327,0.15,0.1,0.05000000000000008,0.25,0.005277014480956603
2011-10-31,0.44472298551904327,0.15,0.1,0.05000000000000008,0.25,0.005277014480956603
2011-11-30,0.44472298551904327,0.15,0.1,0.05000000000000008,0.25,0.005277014480956603
2011-12-30,0.446717622378223,0.14999999999999997,0.09999999999999988,0.05,0.25,0.0032823776217772577
2012-01-31,0.3429900923296247,0.20700990767037483,0.0,0.15000000000000044,0.3,0.0
2012-02-29,0.446717622378223,0.14999999999999997,0.09999999999999988,0.05,0.25,0.0032823776217772577
2012-03-30,0.446717622378223,0.14999999999999997,0.09999999999999988,0.05,0.25,0.0032823776217772577
2012-04-30,0.446717622378223,0.14999999999999997,0.09999999999999988,0.05,0.25,0.0032823776217772577
2012-05-31,0.2767265541460585,0.27327344585394114,0.0,0.1500000000000007,0.2999999999999997,0.0
2012-06-29,0.23922696887475256,0.31077303112524746,0.0,0.1500000000000002,0.2999999999999999,0.0
2012-07-31,0.2174113503836065,0.3325886496163939,0.0,0.15000000000000002,0.29999999999999954,0.0
2012-08-31,0.21684855732897523,0.33315144267102564,0.0,0.14999999999999952,0.29999999999999966,0.0
2012-09-28,0.3290132898309909,0.2209867101690095,0.0,0.14999999999999972,0.3,0.0
2012-10-31,0.446717622378223,0.14999999999999997,0.09999999999999988,0.05,0.25,0.0032823776217772577
2012-11-30,0.446717622378223,0.14999999999999997,0.09999999999999988,0.05,0.25,0.0032823776217772577
2012-12-31,0.3,0.15,0.1,0.1801981138749533,0.25,0.019801886125046776
2013-01-31,0.45000000000000007,0.0,0.0,0.15,0.29999999999999993,0.10000000000000006
2013-02-28,0.3,0.15,0.1,0.1801981138749533,0.25,0.019801886125046776
2013-03-29,0.3,0.15,0.1,0.1801981138749533,0.25,0.019801886125046776
2013-04-30,0.3,0.15,0.1,0.1801981138749533,0.25,0.019801886125046776
2013-05-31,0.3,0.15,0.1,0.1801981138749533,0.25,0.019801886125046776
2013-06-28,0.3,0.15,0.1,0.1801981138749533,0.25,0.019801886125046776
2013-07-31,0.3,0.15,0.1,0.1801981138749533,0.25,0.019801886125046776
2013-08-30,0.44999999999999984,0.0,0.010306429944291647,0.24999999999999994,0.20000000000000057,0.08969357005570806
2013-09-30,0.3,0.15,0.1,0.1801981138749533,0.25,0.019801886125046776
2013-10-31,0.3,0.15,0.1,0.1801981138749533,0.25,0.019801886125046776
2013-11-29,0.3,0.15,0.1,0.1801981138749533,0.25,0.019801886125046776
2013-12-31,0.45,0.14999999999999997,0.1,0.13535032199212788,0.16154632258983084,0.003103355418041322
2014-01-31,0.45000000000000007,0.06520394462773325,0.0,0.24999999999999997,0.19999999999999976,0.03479605537226697
2014-02-28,0.45,0.14999999999999997,0.1,0.13535032199212788,0.16154632258983084,0.003103355418041322
2014-03-31,0.45,0.14999999999999997,0.1,0.13535032199212788,0.16154632258983084,0.003103355418041322
2014-04-30,0.45,0.14999999999999997,0.1,0.13535032199212788,0.16154632258983084,0.003103355418041322
2014-05-30,0.45,0.14999999999999997,0.1,0.13535032199212788,0.16154632258983084,0.003103355418041322
2014-06-30,0.45,0.14999999999999997,0.1,0.13535032199212788,0.16154632258983084,0.003103355418041322
2014-07-31,0.45,0.048436270846909234,0.0,0.25,0.20000000000000062,0.051563729153090106
2014-08-31,0.4500000000000001,0.050315926018236645,0.0,0.25000000000000006,0.19999999999999957,0.04968407398176367
2014-09-30,0.45,0.14999999999999997,0.1,0.13535032199212788,0.16154632258983084,0.003103355418041322
2014-10-31,0.45,0.14999999999999997,0.1,0.13535032199212788,0.16154632258983084,0.003103355418041322
2014-11-30,0.45,0.14999999999999997,0.1,0.13535032199212788,0.16154632258983084,0.003103355418041322
