rebalance_date,US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY
2005-07-29,0.45,0.15,0.1,0.05232602520119712,0.247673974798803,,0.0
2005-08-31,0.45,0.15,0.1,0.05232602520119712,0.247673974798803,,0.0
2005-09-30,0.44999999999999996,0.05000000000000056,0.0,0.2499999999999996,0.19999999999999984,0.0,0.04999999999999993
2005-10-31,0.45000000000000007,0.050000000000000704,0.0,0.24999999999999992,0.1999999999999997,0.0,0.04999999999999968
2005-11-30,0.45,0.15,0.1,0.05232602520119712,0.247673974798803,,0.0
2005-12-30,0.45,0.15,0.1,0.05,0.25,,0.0
2006-01-31,0.45,0.15,0.1,0.05,0.25,,0.0
2006-02-28,0.45,0.15,0.1,0.05,0.25,,0.0
2006-03-31,0.45,0.15,0.1,0.05,0.25,,0.0
2006-04-28,0.45,0.15,0.1,0.05,0.25,,0.0
2006-05-31,0.45,0.15,0.1,0.05,0.25,,0.0
2006-06-30,0.45,0.15,0.1,0.05,0.25,,0.0
2006-07-31,0.45,0.15,0.1,0.05,0.25,,0.0
2006-08-31,0.45,0.15,0.1,0.05,0.25,,0.0
2006-09-29,0.45,0.15,0.1,0.05,0.25,,0.0
2006-10-31,0.45,0.15,0.1,0.05,0.25,,0.0
2006-11-30,0.45,0.15,0.1,0.05,0.25,,0.0
2006-12-29,0.45,0.15,0.1,0.19090846484094032,0.10909153515905978,,0.0
2007-01-31,0.45,0.15,0.1,0.19090846484094032,0.10909153515905978,,0.0
2007-02-28,0.45,0.15,0.1,0.19090846484094032,0.10909153515905978,,0.0
2007-03-30,0.45,0.15,0.1,0.19090846484094032,0.10909153515905978,,0.0
2007-04-30,0.45,0.15,0.1,0.19090846484094032,0.10909153515905978,,0.0
2007-05-31,0.45,0.15,0.1,0.19090846484094032,0.10909153515905978,,0.0
2007-06-29,0.45,0.15,0.1,0.19090846484094032,0.10909153515905978,,0.0
2007-07-31,0.45,0.15,0.1,0.19090846484094032,0.10909153515905978,,0.0
2007-08-31,0.45,0.15,0.1,0.19090846484094032,0.10909153515905978,,0.0
2007-09-28,0.45,0.15,0.1,0.19090846484094032,0.10909153515905978,,0.0
2007-10-31,0.45,0.15,0.1,0.19090846484094032,0.10909153515905978,,0.0
2007-11-30,0.4499999999999995,0.09999999999999933,0.0,0.17730772801552372,0.2726922719844774,0.0,0.0
2007-12-31,0.45,0.15,0.1,0.13491040583881722,0.16508959416118288,,0.0
2008-01-31,0.45,0.15,0.1,0.13491040583881722,0.16508959416118288,,0.0
2008-02-29,0.45,0.15,0.1,0.13491040583881722,0.16508959416118288,,0.0
2008-03-31,0.45,0.15,0.1,0.13491040583881722,0.16508959416118288,,0.0
2008-04-30,0.45,0.15,0.1,0.13491040583881722,0.16508959416118288,,0.0
2008-05-30,0.45,0.15,0.1,0.13491040583881722,0.16508959416118288,,0.0
2008-06-30,0.45,0.15,0.1,0.13491040583881722,0.16508959416118288,,0.0
2008-07-31,0.45,0.15,0.1,0.13491040583881722,0.16508959416118288,,0.0
2008-08-29,0.45,0.15,0.1,0.13491040583881722,0.16508959416118288,,0.0
2008-09-30,0.45,0.15,0.1,0.13491040583881722,0.16508959416118288,,0.0
2008-10-31,0.45,0.15,0.1,0.13491040583881722,0.16508959416118288,,0.0
2008-11-28,0.45,0.15,0.1,0.13491040583881722,0.16508959416118288,,0.0
2008-12-31,0.45,0.15,0.1,0.05,0.25,,0.0
2009-01-30,0.45,0.15,0.1,0.05,0.25,,0.0
2009-02-27,0.45,0.15,0.1,0.05,0.25,,0.0
2009-03-31,0.45,0.15,0.1,0.05,0.25,,0.0
2009-04-30,0.45,0.15,0.1,0.05,0.25,,0.0
2009-05-29,0.2493452312941075,0.20065476870589266,0.25,0.0,0.2999999999999999,0.0,0.0
2009-06-30,0.2634799559437261,0.18652004405627398,0.24999999999999997,0.0,0.30000000000000004,0.0,0.0
2009-07-31,0.2502423145207448,0.21535830424481056,0.23439938123444465,0.0,0.3,0.0,0.0
2009-08-31,0.240044290888218,0.35,0.10995570911178194,0.0,0.3,0.0,0.0
2009-09-30,0.24746807483297611,0.3401664763200659,0.11236544884695798,0.0,0.29999999999999993,0.0,0.0
2009-10-30,0.24786707658485665,0.34999999999999976,0.10213292341514353,0.0,0.3,0.0,0.0
2009-11-30,0.4317985327693442,0.26820146723065597,0.0,0.0,0.29999999999999977,0.0,0.0
2009-12-31,0.4103444717262348,0.25687680535973184,0.0,0.032778722914033366,0.3,0.0,0.0
2010-01-29,0.4499999999999999,0.18814840914681696,0.0,0.01185159085318291,0.3000000000000002,0.0,0.05000000000000004
2010-02-26,0.4499999999999999,0.1831258932695601,0.0,0.01687410673043983,0.3000000000000001,0.0,0.050000000000000024
2010-03-31,0.45000000000000007,0.10513758241909264,0.0,0.0948624175809071,0.30000000000000004,0.0,0.05000000000000002
2010-04-30,0.4500000000000001,0.04999999999999991,0.0,0.14999999999999997,0.30000000000000004,0.0,0.05000000000000002
2010-05-31,0.45,0.04999999999999975,0.0,0.15000000000000013,0.3,0.0,0.05
2010-06-30,0.45,0.15,0.1,0.05,0.25,,0.0
2010-07-30,0.45,0.049999999999999656,0.0,0.1500000000000004,0.29999999999999993,0.0,0.05000000000000002
2010-08-31,0.45,0.15,0.1,0.05,0.25,,0.0
2010-09-30,0.4499999999999998,0.05000000000000014,0.0,0.15000000000000002,0.3000000000000001,0.0,0.04999999999999993
2010-10-29,0.4499999999999998,0.05000000000000008,0.0,0.15000000000000002,0.30000000000000004,0.0,0.05000000000000002
2010-11-30,0.45,0.04999999999999994,0.0,0.15000000000000005,0.3,0.0,0.05
2010-12-31,0.4500000000000001,0.04999999999999959,0.0,0.15000000000000013,0.3000000000000001,0.0,0.050000000000000024
2011-01-31,0.45,0.04999999999999985,0.0,0.15000000000000002,0.3,0.0,0.05
2011-02-28,0.4499999999999998,0.050000000000000225,0.0,0.14999999999999997,0.29999999999999993,0.0,0.04999999999999998
2011-03-31,0.45000000000000023,0.10000000000000032,0.0,0.14999999999999974,0.2999999999999997,0.0,0.0
2011-04-29,0.44472298557651346,0.15,0.09999999999999992,0.05,0.24999999999999997,0.0052770144234865705,0.0
