hypothesis,model,asset_setup,assets,seq_len,threshold,taa_band,risk_aversion,bl_tau,regime_view_scale,ips_pass,ips_objective,return_pa,vol_pa,max_dd,sharpe,calmar,delta_dd,delta_ret,n_signals_fired,elapsed_seconds,status
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.5,0.5,4.0,0.05,2.0,3,18.313982131125584,0.095193634186625,0.0911366175298666,-0.1871968379680142,0.824176593760402,0.50852159267183,0.1182221955433848,0.0102497100186624,61,15.534783601760864,keep
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,2.0,3,18.697694800727465,0.0948751053191701,0.0913150637205376,-0.1905369896059071,0.8195691582559712,0.4979353642324404,0.1148820439053911,0.0099311806677078,61,12.647531747817991,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,2.0,3,18.70505693172754,0.0921907634073835,0.0917105779922259,-0.1875307547324329,0.7896469419702135,0.4916034361346244,0.1178882787789661,0.0072468392394209,53,16.385360717773438,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,2.0,3,19.002227361072837,0.0923836642100148,0.0918689482148365,-0.1905369896059067,0.7903770251664441,0.4848594721743779,0.1148820439053915,0.0074397395585525,53,11.884225606918337,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.5,0.5,4.0,0.05,1.5,3,19.42167883835598,0.0947237880989495,0.0924744672337559,-0.1964661092487534,0.8089627465431952,0.4821380565897809,0.1089529242626456,0.0097798639309869,61,15.205243587493896,keep
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,1.5,3,19.643127228742152,0.0928546679217965,0.0928198309604642,-0.1964661092487538,0.7878829600734425,0.4726243537720259,0.1089529242626452,0.0079107437538339,53,13.192599534988403,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,1.5,3,19.730653133374894,0.0973182446669387,0.0929237556805398,-0.2017010203201478,0.8309926279788782,0.4824876171299053,0.1037180131911504,0.0123743200154764,61,12.97508978843689,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,1.5,3,19.94712931647525,0.0955270995120818,0.0932973723566868,-0.2017010203201475,0.8105239227083116,0.473607418348492,0.1037180131911507,0.0105831748606195,53,13.859591484069824,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.5,0.5,4.0,0.05,1.0,3,20.85238176439378,0.0950664309015483,0.0943234688543691,-0.2092667796911169,0.7982786377725911,0.4542834320949974,0.0961522538202821,0.0101225067335857,61,18.19965076446533,keep
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,1.0,3,21.054343178858744,0.0933061296038011,0.0945827817012719,-0.2092667796911166,0.7793358204442491,0.4458716751006705,0.0961522538202824,0.0083622054358385,53,14.184074640274048,discard
