hypothesis,model,asset_setup,assets,seq_len,threshold,taa_band,risk_aversion,bl_tau,regime_view_scale,ips_pass,ips_objective,return_pa,vol_pa,max_dd,sharpe,calmar,delta_dd,delta_ret,n_signals_fired,elapsed_seconds,status
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,2.0,3,18.697694800727465,0.0948751053191701,0.0913150637205376,-0.19053698960590715,0.8195691582559712,0.49793536423244045,0.11488204390539114,0.009931180667707817,61,10.846177577972412,keep
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,2.0,3,18.697694800727465,0.0948751053191701,0.0913150637205376,-0.19053698960590715,0.8195691582559712,0.49793536423244045,0.11488204390539114,0.009931180667707817,61,11.901330709457397,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,2.0,3,19.002227361072833,0.09238366421001487,0.09186894821483653,-0.1905369896059067,0.7903770251664441,0.48485947217437797,0.11488204390539158,0.007439739558552594,53,12.661842107772827,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,2.0,3,19.002227361072833,0.09238366421001487,0.09186894821483653,-0.1905369896059067,0.7903770251664441,0.48485947217437797,0.11488204390539158,0.007439739558552594,53,10.927664518356323,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,1.5,3,19.730653133374894,0.09731824466693872,0.09292375568053984,-0.2017010203201478,0.8309926279788782,0.4824876171299053,0.10371801319115048,0.012374320015476448,61,11.827784061431885,keep
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,1.5,3,19.730653133374894,0.09731824466693872,0.09292375568053984,-0.2017010203201478,0.8309926279788782,0.4824876171299053,0.10371801319115048,0.012374320015476448,61,12.988842487335205,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,1.5,3,19.947129316475255,0.09552709951208183,0.09329737235668681,-0.20170102032014758,0.8105239227083116,0.473607418348492,0.1037180131911507,0.010583174860619549,53,11.489581823348999,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,1.5,3,19.947129316475255,0.09552709951208183,0.09329737235668681,-0.20170102032014758,0.8105239227083116,0.473607418348492,0.1037180131911507,0.010583174860619549,53,13.099000215530396,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,1.0,3,21.31231482529613,0.09569761282885203,0.09513049881097704,-0.21369026227083632,0.7983834206595498,0.44783328829257796,0.09172877124046197,0.010753688177389753,61,10.82039761543274,keep
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,1.0,3,21.31231482529613,0.09569761282885203,0.09513049881097704,-0.21369026227083632,0.7983834206595498,0.44783328829257796,0.09172877124046197,0.010753688177389753,61,13.06125521659851,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,1.0,3,21.472175476178123,0.09426404592714976,0.09529553841809368,-0.21369026227083732,0.7834228349362093,0.44112466766350233,0.09172877124046097,0.009320121275687487,53,10.94370698928833,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,1.0,3,21.472175476178123,0.09426404592714976,0.09529553841809368,-0.21369026227083732,0.7834228349362093,0.44112466766350233,0.09172877124046097,0.009320121275687487,53,12.089738368988037,discard
h1,xgb_lstm,policy_core,"US Equity,US Treasuries,US TIPS,US REITs,Gold",6,0.55,0.5,4.0,0.05,2.0,2,1022.7428282043323,0.06533710940397874,0.08886134005122384,-0.18924116080005682,0.5318506106455901,0.3452584476218195,0.11617787271124147,-0.005339197980557264,53,11.13025951385498,discard
h1,xgb_lstm,policy_core,"US Equity,US Treasuries,US TIPS,US REITs,Gold",6,0.5,0.5,4.0,0.05,2.0,2,1022.9102629095042,0.06510013004374882,0.08789991840199755,-0.19140297078054214,0.534164537589474,0.34012079216048846,0.11401606273075615,-0.005576177340787192,61,11.912970066070557,discard
h1,xgb_lstm,policy_core,"US Equity,US Treasuries,US TIPS,US REITs,Gold",6,0.55,0.5,4.0,0.05,1.5,2,1023.9431884082856,0.064615418316462,0.08990981630404785,-0.19875290441173088,0.5191751596511728,0.32510427209962445,0.10666612909956741,-0.006060889068074005,53,12.12723684310913,discard
h1,xgb_lstm,policy_core,"US Equity,US Treasuries,US TIPS,US REITs,Gold",6,0.5,0.5,4.0,0.05,1.5,2,1024.713663280858,0.06352829672075355,0.08914558289178418,-0.2050476433583046,0.5113925509345463,0.30982212563029976,0.10037139015299368,-0.007148010663782456,61,12.440832376480103,discard
h1,xgb_lstm,policy_core,"US Equity,US Treasuries,US TIPS,US REITs,Gold",6,0.55,0.5,4.0,0.05,1.0,2,1024.7258951022193,0.0682564498668845,0.09168636321715079,-0.2120854875388114,0.5481433912922876,0.3218346085768535,0.09333354597248689,-0.0024198575176515025,53,13.155985593795776,discard
h1,xgb_lstm,policy_core,"US Equity,US Treasuries,US TIPS,US REITs,Gold",6,0.5,0.5,4.0,0.05,1.0,2,1024.9088645624904,0.06705280035406469,0.091108758794221,-0.2120854875388113,0.5386603664585263,0.3161593050622766,0.093333545972487,-0.003623507030471318,61,11.802797317504883,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,0.5,2,1026.600067047345,0.09788146544448839,0.1005064672170715,-0.25668783435043285,0.781065217416464,0.3813249104391119,0.048731199160865435,0.012937540793026114,61,12.10031533241272,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,0.5,2,1026.600067047345,0.09788146544448839,0.1005064672170715,-0.25668783435043285,0.781065217416464,0.3813249104391119,0.048731199160865435,0.012937540793026114,61,12.798576354980469,keep
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1026.6813571517596,0.0968188661369624,0.1002567689536911,-0.2566878343504329,0.7730949901001943,0.3771852545406741,0.0487311991608653,0.0118749414855001,53,15.605644702911375,keep
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1026.6813571517596,0.09681886613696244,0.10025676895369118,-0.25668783435043296,0.7730949901001943,0.3771852545406741,0.048731199160865324,0.011874941485500168,53,11.990036249160767,discard
