timestamp	hypothesis	model	threshold	ips_loss	ips_pass	delta_dd	delta_ret	status	description
2026-04-24 20:17:14	h1	xgb	0.500	6.7356	1	0.0044	-0.0003	baseline	baseline xgb/h1
2026-04-24 20:17:32	h1	lstm	0.550	6.3152	1	0.0078	0.0005	baseline	baseline lstm/h1
2026-04-24 20:18:13	h1	transformer	0.550	7.1022	1	-0.0001	0.0004	baseline	baseline transformer/h1
2026-04-24 20:18:15	h2	xgb	0.500	7.4414	2	-0.0062	0.0116	baseline	baseline xgb/h2
2026-04-24 20:18:29	h2	lstm	0.550	7.7530	2	-0.0093	0.0061	baseline	baseline lstm/h2
2026-04-24 20:19:06	h2	transformer	0.550	6.9065	1	-0.0001	0.0024	baseline	baseline transformer/h2
2026-04-24 20:19:07	h3	xgb	0.500	6.7331	1	0.0033	0.0008	baseline	baseline xgb/h3
2026-04-24 20:19:21	h3	lstm	0.550	7.0410	1	-0.0001	0.0010	baseline	baseline lstm/h3
2026-04-24 20:19:46	h3	transformer	0.550	6.3429	1	0.0078	0.0002	baseline	baseline transformer/h3
2026-04-24 20:19:48	h4	xgb	0.500	7.2406	1	-0.0001	-0.0009	baseline	baseline xgb/h4
2026-04-24 20:20:01	h4	lstm	0.550	6.7771	1	0.0039	-0.0002	baseline	baseline lstm/h4
2026-04-24 20:20:40	h4	transformer	0.550	7.1439	1	-0.0001	0.0000	baseline	baseline transformer/h4
2026-04-24 20:23:13	h1	xgb	0.400	6.6707	1	0.0057	-0.0010	search	search thr=0.4 scale=1.0
2026-04-24 20:23:14	h1	xgb	0.400	6.5897	1	0.0064	-0.0008	search	search thr=0.4 scale=1.5
2026-04-24 20:23:16	h1	xgb	0.500	6.7356	1	0.0044	-0.0003	search	search thr=0.5 scale=1.0
2026-04-24 20:23:18	h1	xgb	0.500	6.6720	1	0.0049	-0.0002	search	search thr=0.5 scale=1.5
2026-04-24 20:23:19	h1	xgb	0.550	6.6557	1	0.0044	0.0005	search	search thr=0.55 scale=1.0
2026-04-24 20:23:21	h1	xgb	0.550	6.5955	1	0.0049	0.0006	search	search thr=0.55 scale=1.5
2026-04-24 20:23:22	h1	xgb	0.600	6.6523	1	0.0044	0.0005	search	search thr=0.6 scale=1.0
2026-04-24 20:23:24	h1	xgb	0.600	6.5786	1	0.0051	0.0005	search	search thr=0.6 scale=1.5
2026-04-24 20:23:25	h1	xgb	0.650	6.8985	1	0.0026	-0.0002	search	search thr=0.65 scale=1.0
2026-04-24 20:23:27	h1	xgb	0.650	6.8447	1	0.0031	-0.0002	search	search thr=0.65 scale=1.5
2026-04-24 20:23:41	h1	lstm	0.400	6.0742	1	0.0123	-0.0016	search	search thr=0.4 scale=1.0
2026-04-24 20:23:55	h1	lstm	0.400	5.8774	1	0.0138	-0.0012	search	search thr=0.4 scale=1.5
2026-04-24 20:24:11	h1	lstm	0.500	6.1257	1	0.0123	-0.0021	search	search thr=0.5 scale=1.0
2026-04-24 20:24:26	h1	lstm	0.500	5.9310	1	0.0138	-0.0017	search	search thr=0.5 scale=1.5
2026-04-24 20:24:40	h1	lstm	0.550	6.3152	1	0.0078	0.0005	search	search thr=0.55 scale=1.0
2026-04-24 20:24:53	h1	lstm	0.550	6.2776	1	0.0081	0.0006	search	search thr=0.55 scale=1.5
2026-04-24 20:25:08	h1	lstm	0.600	6.6530	1	0.0045	0.0003	search	search thr=0.6 scale=1.0
2026-04-24 20:25:21	h1	lstm	0.600	6.6497	1	0.0045	0.0004	search	search thr=0.6 scale=1.5
2026-04-24 20:25:35	h1	lstm	0.650	7.1274	1	-0.0001	0.0002	search	search thr=0.65 scale=1.0
2026-04-24 20:25:49	h1	lstm	0.650	7.1157	1	-0.0001	0.0003	search	search thr=0.65 scale=1.5
2026-04-24 20:26:33	h1	transformer	0.400	6.9039	1	0.0044	-0.0020	search	search thr=0.4 scale=1.0
2026-04-24 20:27:18	h1	transformer	0.400	6.7129	1	0.0055	-0.0013	search	search thr=0.4 scale=1.5
2026-04-24 20:27:55	h1	transformer	0.500	6.8785	1	0.0044	-0.0017	search	search thr=0.5 scale=1.0
