Security,LBUSTRUU (Agg Bonds)
Start Date,2000-01-03 00:00:00
End Date,2026-04-14 00:00:00
Period,D
,
Date,PX_LAST
2000-01-03 00:00:00,829.39
2000-01-04 00:00:00,832.53
2000-01-05 00:00:00,828.84
2000-01-06 00:00:00,831.02
2000-01-07 00:00:00,833.27
2000-01-10 00:00:00,831.98
2000-01-11 00:00:00,828.11
2000-01-12 00:00:00,827.04
2000-01-13 00:00:00,830.78
2000-01-14 00:00:00,829.45
2000-01-18 00:00:00,827.44
2000-01-19 00:00:00,828.56
2000-01-20 00:00:00,827.42
2000-01-21 00:00:00,828.15
2000-01-24 00:00:00,831.84
2000-01-25 00:00:00,832.09
2000-01-26 00:00:00,832.89
2000-01-27 00:00:00,833.28
2000-01-28 00:00:00,833.71
2000-01-31 00:00:00,831.02
2000-02-01 00:00:00,832.85
2000-02-02 00:00:00,833.3
2000-02-03 00:00:00,837.01
2000-02-04 00:00:00,834.8
2000-02-07 00:00:00,832.17
2000-02-08 00:00:00,834.91
2000-02-09 00:00:00,832.82
2000-02-10 00:00:00,831.01
2000-02-11 00:00:00,832.34
2000-02-14 00:00:00,835.87
2000-02-15 00:00:00,834.92
2000-02-16 00:00:00,834.2
2000-02-17 00:00:00,833.98
2000-02-18 00:00:00,836.8
2000-02-22 00:00:00,842.3
2000-02-23 00:00:00,839.54
2000-02-24 00:00:00,842.36
2000-02-25 00:00:00,842.26
2000-02-28 00:00:00,839.67
2000-02-29 00:00:00,841.07
2000-03-01 00:00:00,841.86
2000-03-02 00:00:00,842.06
2000-03-03 00:00:00,843.75
2000-03-06 00:00:00,842.64
2000-03-07 00:00:00,843.47
2000-03-08 00:00:00,843.32
2000-03-09 00:00:00,843.92
2000-03-10 00:00:00,842.1
2000-03-13 00:00:00,842.9
2000-03-14 00:00:00,843.82
2000-03-15 00:00:00,844.62
2000-03-16 00:00:00,845.8
2000-03-17 00:00:00,847.89
2000-03-20 00:00:00,848.36
2000-03-21 00:00:00,848.94
2000-03-22 00:00:00,849.03
2000-03-23 00:00:00,850.33
2000-03-24 00:00:00,846.87
2000-03-27 00:00:00,846.66
2000-03-28 00:00:00,846.7
2000-03-29 00:00:00,846.86
2000-03-30 00:00:00,850.42
2000-03-31 00:00:00,852.15
2000-04-03 00:00:00,853.81
2000-04-04 00:00:00,859.15
2000-04-05 00:00:00,857.83
2000-04-06 00:00:00,856.84
2000-04-07 00:00:00,859.0
2000-04-10 00:00:00,860.69
2000-04-11 00:00:00,857.32
2000-04-12 00:00:00,854.77
2000-04-13 00:00:00,856.75
2000-04-14 00:00:00,858.42
2000-04-17 00:00:00,855.34
2000-04-18 00:00:00,854.8
2000-04-19 00:00:00,857.34
2000-04-20 00:00:00,857.65
2000-04-24 00:00:00,857.55
2000-04-25 00:00:00,853.59
