Security,LF98TRUU
Start Date,2000-01-03 00:00:00
End Date,2026-04-14 00:00:00
Period,D
,
Date,PX_LAST
2000-01-03 00:00:00,548.29
2000-01-04 00:00:00,547.66
2000-01-05 00:00:00,546.83
2000-01-06 00:00:00,547.01
2000-01-07 00:00:00,546.73
2000-01-10 00:00:00,546.54
2000-01-11 00:00:00,546.04
2000-01-12 00:00:00,545.97
2000-01-13 00:00:00,545.91
2000-01-14 00:00:00,545.75
2000-01-18 00:00:00,545.68
2000-01-19 00:00:00,545.77
2000-01-20 00:00:00,545.55
2000-01-21 00:00:00,545.47
2000-01-24 00:00:00,546.77
2000-01-25 00:00:00,546.7
2000-01-26 00:00:00,546.58
2000-01-27 00:00:00,546.77
2000-01-28 00:00:00,547.16
2000-01-31 00:00:00,546.93
2000-02-01 00:00:00,547.38
2000-02-02 00:00:00,547.37
2000-02-03 00:00:00,548.04
2000-02-04 00:00:00,547.84
2000-02-07 00:00:00,547.65
2000-02-08 00:00:00,548.25
2000-02-09 00:00:00,548.29
2000-02-10 00:00:00,548.08
2000-02-11 00:00:00,548.24
2000-02-14 00:00:00,548.7
2000-02-15 00:00:00,548.17
2000-02-16 00:00:00,548.18
2000-02-17 00:00:00,548.26
2000-02-18 00:00:00,548.34
2000-02-22 00:00:00,549.29
2000-02-23 00:00:00,548.93
2000-02-24 00:00:00,549.32
2000-02-25 00:00:00,554.07
2000-02-28 00:00:00,549.02
2000-02-29 00:00:00,547.99
2000-03-01 00:00:00,547.73
2000-03-02 00:00:00,547.72
2000-03-03 00:00:00,547.96
2000-03-06 00:00:00,548.21
2000-03-07 00:00:00,548.5
2000-03-08 00:00:00,548.68
2000-03-09 00:00:00,548.93
2000-03-10 00:00:00,548.73
2000-03-13 00:00:00,548.65
2000-03-14 00:00:00,547.91
2000-03-15 00:00:00,547.26
2000-03-16 00:00:00,547.2
2000-03-17 00:00:00,546.84
2000-03-20 00:00:00,547.2
2000-03-21 00:00:00,546.84
2000-03-22 00:00:00,547.05
2000-03-23 00:00:00,547.3
2000-03-24 00:00:00,547.05
2000-03-27 00:00:00,545.02
2000-03-28 00:00:00,544.41
2000-03-29 00:00:00,543.64
2000-03-30 00:00:00,537.48
2000-03-31 00:00:00,536.47
2000-04-03 00:00:00,536.46
2000-04-04 00:00:00,536.9
2000-04-05 00:00:00,536.24
2000-04-06 00:00:00,536.28
2000-04-07 00:00:00,537.85
2000-04-10 00:00:00,538.72
2000-04-11 00:00:00,538.45
2000-04-12 00:00:00,538.51
2000-04-13 00:00:00,538.63
2000-04-14 00:00:00,538.35
2000-04-17 00:00:00,537.95
2000-04-18 00:00:00,537.47
2000-04-19 00:00:00,538.05
2000-04-20 00:00:00,538.21
2000-04-24 00:00:00,538.7
2000-04-25 00:00:00,538.79
