Security,LF98OAS
Start Date,2000-01-31 00:00:00
End Date,2026-04-14 00:00:00
Period,D
,
Date,PX_LAST
2000-01-31 00:00:00,4.82
2000-02-29 00:00:00,4.97
2000-03-31 00:00:00,5.79
2000-04-28 00:00:00,5.84
2000-05-31 00:00:00,6.07
2000-06-30 00:00:00,5.85
2000-07-31 00:00:00,5.92
2000-08-15 00:00:00,6.06
2000-08-16 00:00:00,6.04
2000-08-17 00:00:00,6.06
2000-08-18 00:00:00,6.09
2000-08-21 00:00:00,6.09
2000-08-22 00:00:00,6.11
2000-08-23 00:00:00,6.17
2000-08-24 00:00:00,6.19
2000-08-25 00:00:00,6.18
2000-08-28 00:00:00,6.1
2000-08-29 00:00:00,6.07
2000-08-30 00:00:00,6.02
2000-08-31 00:00:00,6.13
2000-09-01 00:00:00,6.15
2000-09-05 00:00:00,6.13
2000-09-06 00:00:00,6.08
2000-09-07 00:00:00,6.04
2000-09-08 00:00:00,6.05
2000-09-11 00:00:00,6.04
2000-09-12 00:00:00,6.02
2000-09-13 00:00:00,6.04
2000-09-14 00:00:00,6.01
2000-09-15 00:00:00,6.0
2000-09-18 00:00:00,6.05
2000-09-19 00:00:00,6.13
2000-09-20 00:00:00,6.09
2000-09-21 00:00:00,6.12
2000-09-22 00:00:00,6.18
2000-09-25 00:00:00,6.19
2000-09-26 00:00:00,6.23
2000-09-27 00:00:00,6.29
2000-09-28 00:00:00,6.26
2000-09-29 00:00:00,6.38
2000-10-02 00:00:00,6.38
2000-10-03 00:00:00,6.37
2000-10-04 00:00:00,6.35
2000-10-05 00:00:00,6.39
2000-10-06 00:00:00,6.39
2000-10-10 00:00:00,6.47
2000-10-11 00:00:00,6.52
2000-10-12 00:00:00,6.62
2000-10-13 00:00:00,6.7
2000-10-16 00:00:00,6.73
2000-10-17 00:00:00,6.95
2000-10-18 00:00:00,6.98
2000-10-19 00:00:00,7.03
2000-10-20 00:00:00,7.05
2000-10-23 00:00:00,7.08
2000-10-24 00:00:00,7.04
2000-10-25 00:00:00,7.0
2000-10-26 00:00:00,7.05
2000-10-27 00:00:00,7.04
2000-10-30 00:00:00,7.14
2000-10-31 00:00:00,7.16
2000-11-01 00:00:00,7.2
2000-11-02 00:00:00,7.22
2000-11-03 00:00:00,7.16
2000-11-06 00:00:00,7.19
2000-11-07 00:00:00,7.22
2000-11-08 00:00:00,7.23
2000-11-09 00:00:00,7.28
2000-11-10 00:00:00,7.31
2000-11-13 00:00:00,7.38
2000-11-14 00:00:00,7.4
2000-11-15 00:00:00,7.46
2000-11-16 00:00:00,7.46
2000-11-17 00:00:00,7.47
2000-11-20 00:00:00,7.52
2000-11-21 00:00:00,7.58
2000-11-22 00:00:00,7.76
2000-11-24 00:00:00,7.73
2000-11-27 00:00:00,7.81
2000-11-28 00:00:00,7.93
2000-11-29 00:00:00,8.0
2000-11-30 00:00:00,8.29
2000-12-01 00:00:00,8.28
2000-12-04 00:00:00,8.41
2000-12-05 00:00:00,8.61
2000-12-06 00:00:00,8.66
2000-12-07 00:00:00,8.66
2000-12-08 00:00:00,8.61
2000-12-11 00:00:00,8.57
2000-12-12 00:00:00,8.47
2000-12-13 00:00:00,8.44
2000-12-14 00:00:00,8.45
2000-12-15 00:00:00,9.04
2000-12-18 00:00:00,8.45
2000-12-19 00:00:00,8.38
2000-12-20 00:00:00,8.42
2000-12-21 00:00:00,8.5
2000-12-22 00:00:00,8.53
2000-12-26 00:00:00,8.54
2000-12-27 00:00:00,8.47
2000-12-28 00:00:00,8.44
2000-12-29 00:00:00,8.49
2001-01-02 00:00:00,8.65
2001-01-03 00:00:00,8.5
2001-01-04 00:00:00,8.52
2001-01-05 00:00:00,8.54
2001-01-08 00:00:00,8.55
2001-01-09 00:00:00,8.37
2001-01-10 00:00:00,8.26
2001-01-11 00:00:00,8.03
2001-01-12 00:00:00,7.81
2001-01-16 00:00:00,7.8
2001-01-17 00:00:00,7.87
2001-01-18 00:00:00,7.8
2001-01-19 00:00:00,7.69
2001-01-22 00:00:00,7.6
2001-01-23 00:00:00,7.47
2001-01-24 00:00:00,7.36
2001-01-25 00:00:00,7.28
2001-01-26 00:00:00,7.26
2001-01-29 00:00:00,7.19
2001-01-30 00:00:00,7.22
2001-01-31 00:00:00,6.87
2001-02-01 00:00:00,7.09
2001-02-02 00:00:00,6.99
2001-02-05 00:00:00,6.96
2001-02-06 00:00:00,6.92
2001-02-07 00:00:00,6.92
2001-02-08 00:00:00,6.77
2001-02-09 00:00:00,6.79
2001-02-12 00:00:00,6.72
2001-02-13 00:00:00,6.67
2001-02-14 00:00:00,6.6
2001-02-15 00:00:00,6.48
2001-02-16 00:00:00,6.59
2001-02-20 00:00:00,6.64
2001-02-21 00:00:00,6.62
2001-02-22 00:00:00,6.67
2001-02-23 00:00:00,6.74
2001-02-26 00:00:00,6.82
2001-02-27 00:00:00,6.86
2001-02-28 00:00:00,6.84
2001-03-01 00:00:00,6.86
2001-03-02 00:00:00,6.79
2001-03-05 00:00:00,6.76
2001-03-06 00:00:00,6.75
2001-03-07 00:00:00,6.78
2001-03-08 00:00:00,6.8
2001-03-09 00:00:00,6.74
2001-03-12 00:00:00,6.76
2001-03-13 00:00:00,6.84
2001-03-14 00:00:00,7.0
2001-03-15 00:00:00,7.07
2001-03-16 00:00:00,7.13
2001-03-19 00:00:00,7.1
2001-03-20 00:00:00,7.2
2001-03-21 00:00:00,7.3
2001-03-22 00:00:00,7.47
2001-03-23 00:00:00,7.38
2001-03-26 00:00:00,7.4
2001-03-27 00:00:00,7.28
2001-03-28 00:00:00,7.35
2001-03-29 00:00:00,7.85
2001-03-30 00:00:00,7.17
2001-04-02 00:00:00,7.11
2001-04-03 00:00:00,7.21
2001-04-04 00:00:00,7.38
2001-04-05 00:00:00,7.36
2001-04-06 00:00:00,7.47
2001-04-09 00:00:00,7.49
2001-04-10 00:00:00,7.38
2001-04-11 00:00:00,7.31
2001-04-12 00:00:00,7.31
2001-04-16 00:00:00,7.18
2001-04-17 00:00:00,7.22
2001-04-18 00:00:00,7.3
2001-04-19 00:00:00,7.22
2001-04-20 00:00:00,7.18
2001-04-23 00:00:00,7.27
2001-04-24 00:00:00,7.23
2001-04-25 00:00:00,7.14
2001-04-26 00:00:00,7.18
2001-04-27 00:00:00,7.15
2001-04-30 00:00:00,6.92
2001-05-01 00:00:00,6.93
2001-05-02 00:00:00,6.86
2001-05-03 00:00:00,6.88
2001-05-04 00:00:00,6.9
2001-05-07 00:00:00,6.86
2001-05-08 00:00:00,6.87
2001-05-09 00:00:00,6.92
2001-05-10 00:00:00,6.83
2001-05-11 00:00:00,6.64
2001-05-14 00:00:00,6.69
2001-05-15 00:00:00,6.66
2001-05-16 00:00:00,6.71
2001-05-17 00:00:00,6.7
2001-05-18 00:00:00,6.65
2001-05-21 00:00:00,6.66
2001-05-22 00:00:00,6.67
2001-05-23 00:00:00,6.67
2001-05-24 00:00:00,6.56
2001-05-25 00:00:00,6.57
2001-05-29 00:00:00,6.56
2001-05-30 00:00:00,6.48
2001-05-31 00:00:00,6.53
2001-06-01 00:00:00,6.55
2001-06-04 00:00:00,6.58
2001-06-05 00:00:00,6.64
2001-06-06 00:00:00,6.55
2001-06-07 00:00:00,6.53
2001-06-08 00:00:00,6.46
2001-06-11 00:00:00,6.51
2001-06-12 00:00:00,6.58
2001-06-13 00:00:00,6.59
2001-06-14 00:00:00,6.71
2001-06-15 00:00:00,6.79
2001-06-18 00:00:00,6.87
2001-06-19 00:00:00,7.03
2001-06-20 00:00:00,7.16
2001-06-21 00:00:00,7.17
2001-06-22 00:00:00,7.23
2001-06-25 00:00:00,7.22
2001-06-26 00:00:00,7.16
2001-06-27 00:00:00,7.1
2001-06-28 00:00:00,6.99
2001-06-29 00:00:00,6.97
2001-07-02 00:00:00,7.04
2001-07-03 00:00:00,6.98
2001-07-05 00:00:00,6.97
2001-07-06 00:00:00,7.02
2001-07-09 00:00:00,7.0
2001-07-10 00:00:00,7.05
2001-07-11 00:00:00,7.06
2001-07-12 00:00:00,7.12
2001-07-13 00:00:00,7.11
2001-07-16 00:00:00,7.16
2001-07-17 00:00:00,7.19
2001-07-18 00:00:00,7.31
2001-07-19 00:00:00,7.21
2001-07-20 00:00:00,7.21
2001-07-23 00:00:00,7.22
2001-07-24 00:00:00,7.24
2001-07-25 00:00:00,7.19
2001-07-26 00:00:00,7.21
2001-07-27 00:00:00,7.25
2001-07-30 00:00:00,7.23
2001-07-31 00:00:00,7.15
2001-08-01 00:00:00,7.11
2001-08-02 00:00:00,7.0
2001-08-03 00:00:00,6.94
2001-08-06 00:00:00,6.92
2001-08-07 00:00:00,6.91
2001-08-08 00:00:00,7.02
2001-08-09 00:00:00,6.98
2001-08-10 00:00:00,7.0
2001-08-13 00:00:00,7.07
2001-08-14 00:00:00,6.99
2001-08-15 00:00:00,6.95
2001-08-16 00:00:00,7.0
2001-08-17 00:00:00,7.06
2001-08-20 00:00:00,7.01
2001-08-21 00:00:00,7.03
2001-08-22 00:00:00,7.01
2001-08-23 00:00:00,7.02
