feature_config_id,window_profile,families,feature_count,label_drawdown_threshold,label_return_threshold,covariance_window,deviation_limit,selected_model_family,selected_threshold,selected_logistic_threshold,selected_xgb_threshold,overall_return_pa,overall_volatility_pa,overall_max_drawdown,overall_var95,overall_calmar,avg_fold_drawdown_improvement,avg_turnover,ips_pass_count,beats_baseline
short__macro_memory__crypto,short,"macro_memory,crypto",5,-0.03,-0.015,126,0.15,Ensemble,,0.45,0.25,0.040127939360074194,0.05925468459826355,-0.20016857858470694,-0.005188381611295508,0.20047072144788666,0.00801593727314917,0.19261417638938932,1,False
medium__macro_memory__crypto,medium,"macro_memory,crypto",5,-0.03,-0.02,126,0.15,Logistic,0.2,,,0.03884599638672581,0.0548989072572132,-0.2118358138995855,-0.005273534439821188,0.18337785132564793,0.027646065120289803,0.16959671354334205,1,False
medium__market_momentum__macro_memory__crypto,medium,"market_momentum,macro_memory,crypto",6,-0.03,-0.02,126,0.15,Logistic,0.2,,,0.03884599638672581,0.0548989072572132,-0.2118358138995855,-0.005273534439821188,0.18337785132564793,0.027646065120289803,0.16959671354334205,1,False
medium__market_risk__macro_memory__crypto,medium,"market_risk,macro_memory,crypto",8,-0.03,-0.02,126,0.15,Logistic,0.2,,,0.03884599638672581,0.0548989072572132,-0.2118358138995855,-0.005273534439821188,0.18337785132564793,0.027646065120289803,0.16959671354334205,1,False
medium__market_momentum__market_risk__macro_memory__crypto,medium,"market_momentum,market_risk,macro_memory,crypto",9,-0.03,-0.02,126,0.15,Logistic,0.2,,,0.03884599638672581,0.0548989072572132,-0.2118358138995855,-0.005273534439821188,0.18337785132564793,0.027646065120289803,0.16959671354334205,1,False
short__market_momentum__macro_memory__crypto,short,"market_momentum,macro_memory,crypto",6,-0.03,-0.015,126,0.15,Logistic,0.2,,,0.03621231165089256,0.047644105525356195,-0.2118358138995855,-0.004751836817495109,0.17094518147935991,0.027646065120289776,0.15040917176344223,1,False
short__market_risk__macro_memory__crypto,short,"market_risk,macro_memory,crypto",8,-0.03,-0.015,126,0.15,Logistic,0.2,,,0.03621231165089256,0.047644105525356195,-0.2118358138995855,-0.004751836817495109,0.17094518147935991,0.027646065120289776,0.15040917176344223,1,False
short__defensive_relative__macro_memory__crypto,short,"defensive_relative,macro_memory,crypto",7,-0.03,-0.015,126,0.15,Logistic,0.2,,,0.03621231165089256,0.047644105525356195,-0.2118358138995855,-0.004751836817495109,0.17094518147935991,0.027646065120289776,0.15040917176344223,1,False
short__market_momentum__market_risk__macro_memory__crypto,short,"market_momentum,market_risk,macro_memory,crypto",9,-0.03,-0.015,126,0.15,Logistic,0.2,,,0.03621231165089256,0.047644105525356195,-0.2118358138995855,-0.004751836817495109,0.17094518147935991,0.027646065120289776,0.15040917176344223,1,False
short__market_momentum__defensive_relative__macro_memory__crypto,short,"market_momentum,defensive_relative,macro_memory,crypto",8,-0.03,-0.015,126,0.15,Logistic,0.2,,,0.03621231165089256,0.047644105525356195,-0.2118358138995855,-0.004751836817495109,0.17094518147935991,0.027646065120289776,0.15040917176344223,1,False
short__market_risk__defensive_relative__macro_memory__crypto,short,"market_risk,defensive_relative,macro_memory,crypto",10,-0.03,-0.015,126,0.15,Logistic,0.2,,,0.03621231165089256,0.047644105525356195,-0.2118358138995855,-0.004751836817495109,0.17094518147935991,0.027646065120289776,0.15040917176344223,1,False
short__market_momentum__market_risk__defensive_relative__macro_memory__crypto,short,"market_momentum,market_risk,defensive_relative,macro_memory,crypto",11,-0.03,-0.015,126,0.15,Logistic,0.2,,,0.03621231165089256,0.047644105525356195,-0.2118358138995855,-0.004751836817495109,0.17094518147935991,0.027646065120289776,0.15040917176344223,1,False
