window,backtest_total_return_pa,backtest_cumulative_return,backtest_volatility_pa,backtest_historical_var_95_daily,backtest_sharpe_rf2,backtest_calmar,backtest_max_drawdown,latest_ex_ante_return,latest_ex_ante_vol,avg_turnover,non_traditional_weight,weight_us_equity,weight_us_bonds,weight_reits,weight_gold,weight_bitcoin,weight_jpy,vol_within_11,drawdown_within_13,return_above_5
63d,0.05676355675880207,3.376444711356469,0.08228810662909923,-0.007372874676530484,0.4694171408584369,0.21543971089269887,-0.263477687208156,-0.04058500526554058,0.05329352799613956,0.1212114956354306,0.24999999999999997,0.29017735183754406,0.3,0.15982264816245606,0.0,0.0,0.24999999999999997,True,False,True
84d,0.059378264333077135,3.6753871346402764,0.08252831518720807,-0.00732242138546074,0.4982419986326745,0.22536354012461882,-0.26347768720815645,-0.024850281570044087,0.0476170693457362,0.12609445434937516,0.25,0.29348706832636207,0.3,0.15651293167363806,0.0,0.0,0.25,True,False,True
126d,0.05782652950747491,3.4956864343039253,0.08248110664415546,-0.007311611586342357,0.4807009170722567,0.21947410469634934,-0.26347768720815645,0.005495597201615852,0.046287802670820076,0.11077591174674295,0.24999999999999992,0.2629859465257032,0.3,0.1870140534742968,0.0,0.0,0.24999999999999992,True,False,True
168d,0.05237995251786187,2.916085725364176,0.08163973064079305,-0.007234136547203882,0.42156611439963865,0.1988022328299848,-0.2634776872081567,-0.015883650800801355,0.045671073552681976,0.0927643176015126,0.25,0.27481150085519834,0.3,0.17518849914480164,0.0,0.0,0.25,True,False,True
252d,0.051452320903389026,2.8248285421768786,0.08151113663511822,-0.007199392595256198,0.41128151327504336,0.19528151111611897,-0.263477687208157,0.01914569274710045,0.04584496129636561,0.09293219544452637,0.25,0.3,0.3,0.15000000000000002,0.0,0.0,0.25,True,False,True
378d,0.050120948603327165,2.6974219895794462,0.08153785033967291,-0.007194704517487913,0.39563437222095793,0.19022843692919555,-0.2634776872081568,0.03463641686842295,0.061537426889292896,0.08088963849861926,0.24999999999999997,0.23411032884975583,0.3,0.21588967115024427,0.0,0.0,0.24999999999999997,True,False,True
504d,0.0494274438185649,2.632684914848334,0.0814160852409834,-0.007172388471919361,0.38798671492281356,0.18759631732881954,-0.2634776872081571,0.03554974463948076,0.061834884536122924,0.07495842588851341,0.2499999999999999,0.28246492947496704,0.3,0.16753507052503303,0.0,0.0,0.2499999999999999,True,False,False
756d,0.049878341820420946,2.6746499232360375,0.08144557365388957,-0.007183305718183191,0.39315107899508717,0.18930765010478984,-0.26347768720815645,0.04813208523767481,0.059764547268335376,0.07116717994460582,0.24999999999999994,0.3,0.29999999999999993,0.15000000000000008,0.0,0.0,0.24999999999999994,True,False,False
1008d,0.04990078924995767,2.6767512499378197,0.08141194754067006,-0.007211547503811623,0.39354067711366275,0.18939284680502885,-0.26347768720815634,0.04631574916201946,0.061333403665201264,0.0710254729199509,0.24999999999999994,0.29999999999999993,0.2999999999999999,0.15,0.0,0.0,0.24999999999999994,True,False,False
expanding,0.049684733607622045,2.6565739820185224,0.08141075500939385,-0.007211547503811625,0.3910167019928702,0.18857283185566076,-0.26347768720815634,0.05421054355715824,0.08044881744514994,0.0703841433026009,0.25,0.29999999999999993,0.3,0.1500000000000002,0.0,0.0,0.25,True,False,False
