feature_config_id,window_profile,families,feature_count,feature_columns
baseline_current,baseline,baseline_current,12,"spx_mom_1m,spx_mom_3m,spx_vol_3m,bitcoin_mom_1m,gold_rel_mom_3m,jpy_rel_mom_3m,equity_drawdown_3m,avg_corr_3m,vixcls,vix_change_1m,t10y2y,baa10y"
short__market_core,short,market_core,4,"avg_corr_3m,equity_drawdown_3m,spx_mom_1m,spx_vol_3m"
short__defensive_relative,short,defensive_relative,2,"gold_rel_mom_3m,jpy_rel_mom_3m"
short__macro_spot,short,macro_spot,4,"baa10y,t10y2y,vix_change_1m,vixcls"
short__macro_memory,short,macro_memory,3,"baa_widen_6m,inv_6m_any,vix_6m_max"
short__crypto,short,crypto,2,"bitcoin_available,bitcoin_mom_1m"
short__market_core__defensive_relative,short,"market_core,defensive_relative",6,"avg_corr_3m,equity_drawdown_3m,gold_rel_mom_3m,jpy_rel_mom_3m,spx_mom_1m,spx_vol_3m"
short__market_core__macro_spot,short,"market_core,macro_spot",8,"avg_corr_3m,baa10y,equity_drawdown_3m,spx_mom_1m,spx_vol_3m,t10y2y,vix_change_1m,vixcls"
short__market_core__macro_memory,short,"market_core,macro_memory",7,"avg_corr_3m,baa_widen_6m,equity_drawdown_3m,inv_6m_any,spx_mom_1m,spx_vol_3m,vix_6m_max"
short__market_core__crypto,short,"market_core,crypto",6,"avg_corr_3m,bitcoin_available,bitcoin_mom_1m,equity_drawdown_3m,spx_mom_1m,spx_vol_3m"
short__defensive_relative__macro_spot,short,"defensive_relative,macro_spot",6,"baa10y,gold_rel_mom_3m,jpy_rel_mom_3m,t10y2y,vix_change_1m,vixcls"
short__defensive_relative__macro_memory,short,"defensive_relative,macro_memory",5,"baa_widen_6m,gold_rel_mom_3m,inv_6m_any,jpy_rel_mom_3m,vix_6m_max"
short__defensive_relative__crypto,short,"defensive_relative,crypto",4,"bitcoin_available,bitcoin_mom_1m,gold_rel_mom_3m,jpy_rel_mom_3m"
short__macro_spot__macro_memory,short,"macro_spot,macro_memory",7,"baa10y,baa_widen_6m,inv_6m_any,t10y2y,vix_6m_max,vix_change_1m,vixcls"
short__macro_spot__crypto,short,"macro_spot,crypto",6,"baa10y,bitcoin_available,bitcoin_mom_1m,t10y2y,vix_change_1m,vixcls"
short__macro_memory__crypto,short,"macro_memory,crypto",5,"baa_widen_6m,bitcoin_available,bitcoin_mom_1m,inv_6m_any,vix_6m_max"
