fold,config_key,model_family,model_label,threshold,logistic_threshold,xgb_threshold,validation_cagr,validation_volatility,validation_max_drawdown,validation_calmar,validation_trigger_rate,selection_score
1,Logistic|thr=0.2000,Logistic,Logistic regression,0.2,,,0.0999065889835542,0.05596434571904208,-0.08045662302436296,1.2417447467724518,1.0,-0.07046596412600754
1,Logistic|thr=0.2500,Logistic,Logistic regression,0.25,,,0.0999065889835542,0.05596434571904208,-0.08045662302436296,1.2417447467724518,1.0,-0.07046596412600754
1,Logistic|thr=0.3000,Logistic,Logistic regression,0.3,,,0.0999065889835542,0.05596434571904208,-0.08045662302436296,1.2417447467724518,1.0,-0.07046596412600754
1,Logistic|thr=0.3500,Logistic,Logistic regression,0.35,,,0.0999065889835542,0.05596434571904208,-0.08045662302436296,1.2417447467724518,1.0,-0.07046596412600754
1,Logistic|thr=0.4000,Logistic,Logistic regression,0.4,,,0.1120413877930071,0.07437497866221418,-0.08045662302436296,1.3925688598573172,0.5,-0.06925248424506225
1,Logistic|thr=0.4500,Logistic,Logistic regression,0.45,,,0.1120413877930071,0.07437497866221418,-0.08045662302436296,1.3925688598573172,0.5,-0.06925248424506225
1,Logistic|thr=0.5000,Logistic,Logistic regression,0.5,,,0.1120413877930071,0.07437497866221418,-0.08045662302436296,1.3925688598573172,0.5,-0.06925248424506225
1,BayesXGBoost|thr=0.2500,BayesXGBoost,Bayes-tuned XGBoost,0.25,,,0.15036538246840436,0.12628706831030617,-0.16202869483361715,0.9280169949082814,0.0,-0.14699215658677672
1,BayesXGBoost|thr=0.3000,BayesXGBoost,Bayes-tuned XGBoost,0.3,,,0.15036538246840436,0.12628706831030617,-0.16202869483361715,0.9280169949082814,0.0,-0.14699215658677672
1,BayesXGBoost|thr=0.3500,BayesXGBoost,Bayes-tuned XGBoost,0.35,,,0.15036538246840436,0.12628706831030617,-0.16202869483361715,0.9280169949082814,0.0,-0.14699215658677672
1,BayesXGBoost|thr=0.4000,BayesXGBoost,Bayes-tuned XGBoost,0.4,,,0.15036538246840436,0.12628706831030617,-0.16202869483361715,0.9280169949082814,0.0,-0.14699215658677672
1,SARIMAX|thr=-0.0025,SARIMAX,"SARIMAX(1,0,0)+macro",-0.0025,,,0.15036538246840436,0.12628706831030617,-0.16202869483361715,0.9280169949082814,0.0,-0.14699215658677672
1,SARIMAX|thr=0.0000,SARIMAX,"SARIMAX(1,0,0)+macro",0.0,,,0.15036538246840436,0.12628706831030617,-0.16202869483361715,0.9280169949082814,0.0,-0.14699215658677672
1,SARIMAX|thr=0.0025,SARIMAX,"SARIMAX(1,0,0)+macro",0.0025,,,0.15036538246840436,0.12628706831030617,-0.16202869483361715,0.9280169949082814,0.0,-0.14699215658677672
1,SARIMAX|thr=0.0050,SARIMAX,"SARIMAX(1,0,0)+macro",0.005,,,0.15036538246840436,0.12628706831030617,-0.16202869483361715,0.9280169949082814,0.0,-0.14699215658677672
1,Ensemble|logit=0.40|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.4,0.25,0.1120413877930071,0.07437497866221418,-0.08045662302436296,1.3925688598573172,0.5,-0.06925248424506225
1,Ensemble|logit=0.40|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.4,0.3,0.1120413877930071,0.07437497866221418,-0.08045662302436296,1.3925688598573172,0.5,-0.06925248424506225
1,Ensemble|logit=0.40|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.4,0.35,0.1120413877930071,0.07437497866221418,-0.08045662302436296,1.3925688598573172,0.5,-0.06925248424506225
1,Ensemble|logit=0.45|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.45,0.25,0.1120413877930071,0.07437497866221418,-0.08045662302436296,1.3925688598573172,0.5,-0.06925248424506225
1,Ensemble|logit=0.45|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.45,0.3,0.1120413877930071,0.07437497866221418,-0.08045662302436296,1.3925688598573172,0.5,-0.06925248424506225
1,Ensemble|logit=0.45|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.45,0.35,0.1120413877930071,0.07437497866221418,-0.08045662302436296,1.3925688598573172,0.5,-0.06925248424506225
1,Ensemble|logit=0.50|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.5,0.25,0.1120413877930071,0.07437497866221418,-0.08045662302436296,1.3925688598573172,0.5,-0.06925248424506225
1,Ensemble|logit=0.50|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.5,0.3,0.1120413877930071,0.07437497866221418,-0.08045662302436296,1.3925688598573172,0.5,-0.06925248424506225
1,Ensemble|logit=0.50|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.5,0.35,0.1120413877930071,0.07437497866221418,-0.08045662302436296,1.3925688598573172,0.5,-0.06925248424506225
2,Logistic|thr=0.2000,Logistic,Logistic regression,0.2,,,0.017368298004736715,0.03930139648700098,-0.035870367837540384,0.4841962614768561,1.0,-0.034133538037066716
